customer_id,first_name,last_name,date_of_birth,address,city,postcode,account_balance,last_login
1,Klaus,Tice,11/17/1977,1 Muir Drive,Strellc i Ulët,,621196.77,2020-09-25T01:44:51Z
2,Marjorie,Vannikov,06/05/1981,4 Scott Alley,Skidal’,,913361.46,2021-06-22T09:58:31Z
3,Joela,Sawnwy,7/20/1997,354 Carpenter Pass,Panganiban,4806,421509.14,2021-05-06T11:09:00Z
4,Joanne,Malin,6/18/1970,37379 Pankratz Avenue,Taoyuan,,220669.27,2021-09-02T00:56:58Z
5,Thorsten,Hewertson,6/28/2002,0 Clemons Park,Ibadan,,639298.96,2020-05-21T04:33:15Z
6,Regina,Manston,08/11/1995,906 Forest Dale Crossing,Bajram Curri,,48762.39,2020-09-26T00:16:03Z
7,Avie,Marchent,7/21/2002,6072 Summerview Center,Yangzhuang,,491349.34,2021-09-23T19:43:30Z
8,Estel,Skett,7/25/1988,9 Anthes Place,Rafaï,,925127.35,2020-05-19T18:35:34Z
9,Murdoch,Fayre,01/09/1973,324 Butterfield Plaza,Ilesa,,456755.67,2021-05-17T09:10:09Z
10,Alexio,McSparran,3/24/1972,7 Nevada Plaza,Si Khoraphum,67160,830669.04,2021-09-02T14:15:08Z
11,Wilfred,Bugden,11/04/2005,9 Novick Street,Nīkshahr,,310091.75,2021-07-08T11:09:56Z
12,Derril,Dowderswell,5/30/1992,67 Homewood Trail,Killarney,V9B,838239.03,2020-09-11T00:44:21Z
13,Bianca,Legier,5/13/1981,3083 Utah Street,Russkaya Polyana,646780,183897.73,2020-08-08T21:39:14Z
14,Gilles,Barsham,07/06/1985,05715 Jackson Terrace,Umeå,907 31,114805.94,2020-05-03T06:25:49Z
15,Augusta,Tretter,6/30/1988,6727 Emmet Road,Lianhe,,856676.24,2021-10-16T21:28:23Z
16,Therine,Dudding,1/28/2004,43 Glacier Hill Center,At Tibnī,,643674.21,2020-01-05T20:14:11Z
17,Harbert,Iwanczyk,09/10/1986,10259 Messerschmidt Lane,Ban Ko Lan,48180,23269.61,2020-02-05T01:50:13Z
18,Teri,Bladge,09/06/1986,8 Northfield Road,Chone,,897972.28,2020-02-09T13:25:44Z
19,Lita,Berns,8/18/1984,5 Columbus Terrace,Burgaltay,,143527.25,2021-10-11T09:34:48Z
20,Harrietta,Blundan,3/29/2003,15 Redwing Way,Motong,,278867.52,2020-12-20T02:20:49Z
21,Kerrill,Le Jean,11/02/1996,604 Roxbury Way,Parung,,685995.56,2020-11-21T12:59:08Z
22,Rosco,Levinge,1/24/1970,317 Bashford Court,Qindu,,338900.55,2020-07-26T11:38:59Z
23,Nonnah,Dufaire,8/17/1976,5185 Lake View Parkway,Shahre Jadide Andisheh,,295424.8,2021-06-11T14:20:40Z
24,Paula,Armor,10/17/1988,1 Grasskamp Road,Sanjiazi,,500084.18,2020-11-23T16:05:04Z
25,Galvan,Hinrich,10/02/1984,3571 Prairie Rose Way,Dongke,,778515.29,2020-10-09T11:03:16Z
26,Evangelia,Bum,1/22/1973,83 Monica Road,Bontoc,6604,743029.33,2021-11-18T18:40:30Z
27,Quincy,Imlock,8/15/1997,7 Portage Drive,Memphis,38150,348931.19,2021-03-25T07:17:56Z
28,Shurlock,Teager,11/20/2000,98 Arizona Point,Mayakovski,,347000.93,2020-07-21T10:17:39Z
29,Amberly,Pucker,7/15/1977,7426 Derek Avenue,Dengok,,181127.88,2021-09-22T17:41:06Z
30,Ameline,Sherrum,01/04/1987,92449 Nobel Drive,Sävsjö,576 24,277569.03,2021-06-09T13:25:13Z
31,Vittoria,Capponeer,03/06/1988,77 Tomscot Junction,Yemva,169205,528591,2020-12-30T22:26:33Z
32,Issie,Osorio,04/10/1986,216 Thierer Plaza,Osasco,06000-000,902701.87,2021-01-07T21:16:03Z
33,Ashia,Chubb,11/11/2003,18 Dayton Center,Khlong Luang,12120,670665.7,2021-11-05T01:56:52Z
34,Phyllida,Kuhnel,9/13/1982,4 Reindahl Hill,Guadalupe,33538,51819.21,2020-06-11T22:01:25Z
35,Godiva,Craigmile,03/06/1970,5716 Northport Way,Funehikimachi-funehiki,963-4603,600998.52,2020-02-17T17:43:46Z
36,Richart,Rosie,5/23/1980,999 Lake View Parkway,Langtad,2425,491240.66,2021-10-25T04:43:52Z
37,Lionello,Matusson,1/28/1995,2 Schurz Street,Khafizan,,553241.68,2020-04-08T12:31:35Z
38,Baudoin,Bullas,02/04/1980,683 Maywood Hill,Dado,5037,195312.38,2021-07-05T22:43:24Z
39,Jenda,Klimentyev,10/03/1977,17 Magdeline Terrace,Oklahoma City,73190,664086.46,2021-05-28T18:03:28Z
40,Donna,Conyer,11/06/1979,6 Paget Place,Shiziling,,685932.89,2020-08-05T10:35:14Z
41,Leeanne,Benardet,12/12/1977,946 Mitchell Hill,Siepraw,32-447,991238.85,2020-07-12T01:50:22Z
42,Morie,De Bruin,10/18/1991,5 Sundown Place,El Carmen,547079,76552.47,2021-10-10T05:08:14Z
43,Hamel,Sowter,02/01/1973,08 Caliangt Pass,Kuching,93504,208707.43,2021-04-27T18:23:38Z
44,Erich,Kobus,8/22/1971,3 Ruskin Crossing,Danjiangkou,,495864.92,2021-10-30T00:35:39Z
45,Cherilynn,Corre,03/02/1990,5 Montana Center,Lingshan,,824923.5,2020-12-15T10:27:43Z
46,Lucias,Haglington,01/12/1975,962 Gulseth Court,Žandov,403 39,526996.75,2020-12-18T08:53:11Z
47,Seward,McGrann,6/19/1989,6046 Rowland Parkway,Podhum,51218,462783.04,2020-05-31T06:28:43Z
48,Austin,Orriss,04/01/1982,157 Kim Place,Kokotów,32-020,3497.34,2021-09-03T23:37:47Z
49,Mark,Atlee,05/09/1995,945 Bartelt Crossing,Gojō,648-0002,813062.37,2020-08-05T23:26:19Z
50,Lynnell,Howel,4/27/1996,743 Lakewood Gardens Terrace,Pantano do Sul,78830-000,677747.08,2020-02-22T13:32:41Z
51,Larina,Cuell,2/20/1990,7118 Fisk Trail,Ubay,6315,262867.66,2021-02-19T12:28:17Z
52,Gino,Reading,8/21/1988,1 Continental Alley,Mahalapye,,305886.08,2020-11-21T11:36:28Z
53,Damon,Sijmons,9/16/1973,6 Tennyson Lane,Tikhoretsk,422120,889073.92,2021-12-05T16:48:54Z
54,Ara,Raff,6/22/2000,190 Eastlawn Park,São Julião do Tojal,2660-363,295201.5,2020-06-12T05:21:30Z
55,Daryn,Niaves,10/21/1993,28447 Harper Crossing,Daoxu,,2225.4,2020-02-29T13:55:47Z
56,Valentino,Westell,9/13/1982,65 East Court,Janeng,,19944.56,2021-12-16T05:45:27Z
57,Bertram,Bampfield,2/15/1979,7149 Laurel Park,Bojnik,,522898.28,2020-10-04T23:41:29Z
58,Breanne,Rookesby,04/03/1971,9 East Way,Ipoh,30200,734020.82,2021-01-04T03:03:32Z
59,Lusa,Vallow,6/20/1972,03450 Grover Park,Kālia,7521,659545.14,2021-05-17T04:17:04Z
60,Buddie,Tawse,3/21/1973,36832 Caliangt Hill,Malianchuan,,255188.93,2021-04-12T12:00:21Z
61,Del,Callaway,12/15/1990,66204 Wayridge Center,Santa Luċija,SLC,14613.35,2020-06-25T15:40:05Z
62,Russ,Dankov,3/29/2003,1 Sachtjen Terrace,Nianyushan,,627853.02,2020-10-27T04:47:08Z
63,Ermentrude,Easterbrook,6/16/1976,69 Service Point,Valença,27600-000,463969.34,2020-06-05T08:54:03Z
64,Rebekah,Mackney,12/01/1993,61327 Aberg Pass,Fangfan,,995895.44,2020-07-02T13:49:27Z
65,Annecorinne,Savage,5/14/1976,0868 Oak Court,Miskolc,3515,68561.58,2021-12-28T02:42:52Z
66,Anallese,Shimwell,11/05/1976,03 Comanche Hill,Caldas das Taipas,4805-081,603677.19,2020-07-15T06:52:42Z
67,Hermia,Flipek,12/29/1997,71 Reinke Point,Santo Amaro,5155-655,385989.79,2020-07-09T15:13:22Z
68,Theadora,Trasler,03/12/1978,59650 Graceland Point,Zhongbao,,197495.8,2021-06-05T15:28:23Z
69,Tootsie,Abbie,1/23/1992,29693 Gateway Place,Tor,,734656.25,2020-10-19T11:26:48Z
70,Ari,Manjot,4/22/1994,2 Milwaukee Pass,Navegantes,88375-000,91312.12,2021-08-19T14:45:50Z
71,Jackie,Harring,9/17/1998,2131 Vahlen Place,Silihe,,955788.12,2021-02-23T22:49:20Z
72,Douglass,Gwyther,2/23/1995,92245 Eagle Crest Center,Zhuxing Chaoxianzu,,107119.2,2021-10-04T13:29:39Z
